QueryId	DocumentId	Relevance
1	184	2	
1	29	2	
1	31	2	
1	12	3	
1	51	3	
1	102	3	
1	13	4	
1	14	4	
1	15	4	
1	57	2	
1	378	2	
1	859	2	
1	185	3	
1	30	3	
1	37	3	
1	52	4	
1	142	4	
1	195	4	
1	875	2	
1	56	3	
1	66	3	
1	95	3	
1	462	4	
1	497	3	
1	858	3	
1	876	3	
1	879	3	
1	880	3	
1	486	-1
2	12	1	
2	15	2	
2	184	2	
2	858	2	
2	51	3	
2	102	3	
2	202	3	
2	14	4	
2	52	4	
2	380	4	
2	746	1	
2	859	2	
2	948	2	
2	285	3	
2	390	3	
2	391	3	
2	442	4	
2	497	3	
2	643	3	
2	856	3	
2	857	3	
2	877	3	
2	864	3	
2	658	3	
2	486	-1
3	5	3	
3	6	3	
3	90	3	
3	91	3	
3	119	3	
3	144	3	
3	181	3	
3	399	3	
3	485	-1
4	236	3	
4	166	3	
4	488	-1
5	552	1	
5	401	3	
5	1297	3	
5	1296	1	
5	488	-1
6	99	2	
6	115	3	
6	257	3	
6	258	3	
6	491	-1
7	20	2	
7	56	3	
7	57	3	
7	58	3	
7	19	4	
7	492	-1
8	48	1	
8	122	1	
8	20	3	
8	58	3	
8	196	3	
8	354	1	
8	360	1	
8	197	3	
8	999	3	
8	1112	3	
8	1005	1	
8	492	-1
9	21	2	
9	22	2	
9	550	2	
9	534	-1
10	259	2	
10	405	2	
10	302	3	
10	436	3	
10	437	3	
10	438	3	
10	998	3	
10	1011	3	
10	493	-1
11	27	3	
11	28	3	
11	262	3	
11	160	4	
11	20	4	
11	263	3	
11	654	4	
11	495	-1
12	86	2	
12	194	2	
12	650	2	
12	649	4	
12	652	2	
12	624	-1
13	64	2	
13	265	2	
13	65	4	
13	311	4	
13	496	-1
14	64	1	
14	65	4	
14	496	-1
15	463	1	
15	462	3	
15	497	-1
16	266	2	
16	106	3	
16	196	3	
16	498	-1
17	106	2	
17	196	3	
17	498	-1
18	196	2	
18	197	2	
18	198	2	
18	498	-1
19	32	2	
19	67	2	
19	164	2	
19	639	3	
19	715	3	
19	716	3	
19	719	4	
19	1379	4	
19	717	3	
19	499	-1	
20	87	3	
20	88	3	
20	104	3	
20	267	3	
20	268	3	
20	269	3	
20	270	3	
20	407	3	
